
Name                                                                            Value
Microsoft.Azure.RecoveryServices.VMSnapshot                                     1.0.100.0
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxOL6                          1.0.0.9256
puppet.PuppetAgent                                                              1.5.2
ctm.bmc.com.BmcCtmAgentLinux                                                    9.0.0.1
Microsoft.AzureCAT.AzureEnhancedMonitoring.AzureCATExtensionHandler             2.2.0.68
WAD2EventHub.Diagnostics.Test.IaaSDiagnostics                                   0.1.0.0
Test.Microsoft.VisualStudio.Services.ReleaseManagement1                         1.0.0.0
Gemalto.SafeNet.ProtectV.ProtectVClientLinuxExtension                           3.0.0.205
Microsoft.OSTCExtensions.VMBackupForLinuxExtension                              0.1.0.993
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU2404                  1.0.0.9256
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU1804                              1.5.25.333
Microsoft.HpcCompute.Edp.AmdAmaDriverLinux                                      1.1.0.2
alertlogic.AlertLogicLM                                                         1.3.0.1
Microsoft.Test.Azure.Workloads.WorkloadsExtensionWindows                        1.10.0.0
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxUBUNTU1804                  1.0.0.9256
Microsoft.Azure.SiteRecovery.Test.LinuxRHEL6                                    1.5.25.333
Microsoft.Azure.LabServices.Agent.Windows                                       1.0.1.53
Symantec.CloudWorkloadProtection.SCWPAgentForWindows                            3.4.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2204                              1.5.25.333
Microsoft.HpcCompute.NvidiaGpuDriverWindows                                     1.10.0.7
Microsoft.Azure.ServiceFabric.MC.SfmcSetup                                      1.2.0.1
Microsoft.ServicesHub.WindowsServerAssessment                                   1.9
Microsoft.Azure.Geneva.GenevaMonitoringTest                                     2.56.0.70
Microsoft.AzureData.WindowsAgent.SqlServer                                      1.1.3211.337
PuppetLabs.PuppetEnterpriseAgent                                                2016.1.2
Site24x7.Site24x7LinuxServerExtn                                                1.8.0.0
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES11SP3                               1.0.25.317
Microsoft.HpcCompute.InfiniBandDriverLinux                                      1.4.0.0
